# OF COMPLETED EVENTS,Partnership Tier Level ,Characteristics,VENUE NAME,Assigned Consultant Manager,ADDRESS,DISTANCE FROM OUR  KITCHEN,REFERRAL STATUS,LAST EVENT DATE,Are we added to ther website as  preferred vendor?,Partnered Venue?,Needs Permit?,Notes,Account Manager ,Venue visti done? ,Link of Close CRM,Website Link 
PARTNERED VENDORS,,,Grton School Campus _Historic Barn- they are closed already,,"Sunset Farm, 154 Farmers Row, Groton, MA 01450 ",,,"July 26, 2025",,,,1 event done ,,,,https://www.orthsurg.com/?utm_source=GMBSocialClimb&utm_medium=OrthopaedicSurgicalAssociates
COMPLETED 1 EVENT,,,Hanscom Federal Credit Union,,"25 Porter Rd, Littleton, MA 01460, United States",,,,,,,One event done,,,https://app.close.com/lead/lead_DNH2kAglELOs9liQGQsS0IfXpmQmtUWDnP6iRTPOB21/,
COMPLETED 1 EVENT,,,Highligted in yellow- are the venue we are appr0aching on insta,,,,,,,,,,,,,
COMPLETED 1 EVENT,,,Hinterland Hall,,"525 N Main Steet	Lanesborough, MA 01237	",,,"October 13, 2025",,,,1 Event done,,,,https://www.smolakfarms.com/
COMPLETED 1 EVENT,,,Holliston Historical Society,,"547 Washington St, Holliston, MA 01746",,,"June 7, 2025",,,,1 event done ,,,,https://www.arcofopportunity.org/
COMPLETED 1 EVENT,,,Hopkinton State Park,,"164 Cedar St., Hopkinton, MA 01748",,,,,,,One event done,,,https://app.close.com/lead/lead_nmg3eaycskWfeHdDKbcGcnYebJOSAP1X87MtviSXSsA/,https://www.saintanthonyparish.com/
COMPLETED 1 EVENT,,,https://docs.google.com/spreadsheets/d/1og5W4zHNGRrTB46pcqE9G4ZwHtjUPxYphGf85q8Yfaw/edit?gid=0#gid=0,,"1420 Soldiers Field Road, Brighton MA, 02135",,,"March 8, 2025",,,,1 event done ,,,,https://www.marriott.com/search/findHotels.mi?searchType=InCity&destinationAddress.city=Peabody&destinationAddress.stateProvince=Massachusetts&destinationAddress.country=US&marriottBrands=SH&showMore=true&nst=paid&cid=PAI_GLB00050CK_GLE000BLSW_GLF000ONTQ&ppc=ppc&pId=intbppc&ds_rl=1301220&gad_source=1&gbraid=0AAAAADilnidfIepkSzSUDumQfL4NP4x_b&gclid=CjwKCAjw5PK_BhBBEiwAL7GTPar7h7Ke1w2cMOR5c4s8caCqd_A4Tj5f8qKodpfydsJM2guZT2PMmBoCxnUQAvD_BwE&gclsrc=aw.ds&deviceType=desktop-web&view=list#/1/
COMPLETED 1 EVENT,,,Hyla Brook Estate LLC,,"140 Rockingham Rd.Derry, NH 03038	",,,"May 22, 2025",,,,1 Event done,,,,
COMPLETED 1 EVENT,,,Josiah's Meetinghouse,,"521 Calef Hey, Epping , Nh, 03042",,,"August 23, 2025",,,,1 event done,,,,http://www.utzsnacks.com/
COMPLETED 1 EVENT,,,Juliet Social Club,,"257 Washington St, Somerville, MA 02143",,,,,,,One event done,,,,
COMPLETED 2 EVENTS,,,Knight of Columbus,,,,,Will be on JAN 9,,,,2 eventS done,,,"https://app.close.com/lead/lead_Gxm2Jkh842F4RLKqxz5Wo8E2SmcjQSx78FiIsnCNXyo/, https://app.close.com/lead/lead_MRFOXKGZQvtquuHWBRRbYMD7uZzdZtJX3N4Z2XxYozC/",
COMPLETED 1 EVENT,,,Laurel Spring Farm,,"40 Ford Rd Sterling, MA 01564	",,,"October 4, 2025",,,,1 event done ,,,,http://www.thebestclosings.com/
COMPLETED 1 EVENT,,,Laurel Springs Farm,,"17100 Sam Carr Road, Laurelville, OH 43135",,,9/11/2025,,,,1 event done,,,,https://www.thevenuesatthefactory.com/unique-wedding-venue
COMPLETED 1 EVENT,,,Leominster Elks Lodge #1237,,"134 N Main St, Leominster, MA 01453, United States",,,"May 10, 2024",,,,1 event done ,,,,https://sharedestatesproperties.com/en/the-kemble--built-by-a-us-secretary-of-state-in-lenox
,,,Lia Bancroft events,," 731 E 8th St, Boston, MA 02127, United States",,,none yet,,,,,,,,https://www.marriott.com/en-us/hotels/bossv-the-row-hotel-at-assembly-row-autograph-collection/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0
COMPLETED 1 EVENT,,,Lilac Hedge Farm,,"216 Wachusett St, Rutland, MA 01543, United States",,,,,,,1 event  next year,,,,https://www.thewhiteroomworcester.com/
COMPLETED 1 EVENT,,,Marlboro Fish & Game Association,,"1 Muddy Ln, Marlborough, MA 01752",,,,,,,One event done,,,https://app.close.com/lead/lead_H9vyB5HWWJdnF8DDV6zszyVCyXscbqLIJvoTXdc8jRF/,https://trentosdisposalandservices.com/
COMPLETED 2 EVENTS,,,Marstons Mills,,"Marstons Mills on Cape Cod, Ma",,,,,,,2 events ,,,https://app.close.com/lead/lead_xq3Q96YLusIfhVLW0qKQ1CrAglRLkNvRbXRkobx0vuU/,
COMPLETED 1 EVENT,,,MassBay Community College,," 50 Oakland St, Wellesley, MA 02481, United States",,,,,,,One event done,,,https://app.close.com/lead/lead_ZMoN4zOo5Sm6Ju6T1sIG0OGdASdGuYU8RZXsu5V8A5b/,https://villagehallonthecommon.org/
,,,Metrowest Painting Services,,"345 West Main St Northborough, MA 01532",,,December 12,,,,"1 EVENT- THIS IS A REDFLAG, WE HAVE A BAD RECORD HERE",,,,https://www.legion.org/
COMPLETED 1 EVENT,,,Misstletoe Acres Tree Farm,,"254 Whitman St, East Bridgewater, MA 02333, United States",,,6/26/2025,,,,1 event done and theres an upcoming event on June,,,,https://www.stmaryorthodoxchurch.org/
,,,Mistletoe Acres Tree Farm,,,,,,,,,,,,,
,,,NewLife Church,,"13 Holman RdMillbury, MA 01527",,,,,,,,,,,https://www.winbrooke.com/contact
,,,Night Shift Brewing in Everett,,"87 Santilli Hwy, Everett, MA 02149, United States",,,,,,,,,,,https://782wrentham.com/
COMPLETED 1 EVENT,,,Oakloam Farm estate,,"80 Lake Rd. Brookfield, MA 01506",,,,,,,1 event done,,,,
COMPLETED 1 EVENT,,,Old town hall ,," 10 Kendall Rd, Tyngsborough, MA 01879	",,,"October 12, 2025",,,,1 event done,,,,
COMPLETED 2 EVENTS,,,Orthopaedic Surgical Associates,,"14 Research Pl, Chelmsford, MA 01863",,,,,museum,,2 events done,,,,
,,,Overbrook House,,"5 Old Head Of The Bay Rd, Buzzards Bay, MA 02532, United States",,,9/10/2026,,,,will have 1 event,,,,
COMPLETED 1 EVENT,,,"PACC - Polish American Citizen Club, Inc. of Webster, MA",,"37 Harris St, Webster, MA 01570, United States",,,"June 21,2025",,,,1 event done,,,,
COMPLETED 1 EVENT,,,Pachaug Cottages,,"1 Neilson Ave, East Bridgewater, MA 02333, United States",,,10/4/2025,,,,1 event done,,,https://app.close.com/lead/lead_UufWdZ8vGP1wfnMrNsPV3b2be2x1hSl2N0ONIE8KPgE/,
COMPLETED 1 EVENT,,,Saint Mary's Orthodox Church,," 37 Harris St, Webster, MA 01570, United States",,no ,"August 24,2024",,no ,,"One event done, Outside food allowed",,,,
COMPLETED 1 EVENT,,,Smolak Farm,,"315 S Bradford St, North Andover, MA 01845, United States",,no ,,,no ,,hotel ,,,https://app.close.com/lead/lead_KOLeZrBIxPZ2PSGmAIigiNQUicXDzx0cxfphSoRUeQn/,https://www.smolakfarms.com/
COMPLETED 1 EVENT,,,Springhill Suites Peabody by Marriot,,"43 Newbury St US 1 North, Peabody, MA 01960, United States",,,"October 25, 2025",,,,1 Event done,,,,
,,,St. Anthony Catholic Church,,"8 Inman St, Cambridge, MA 02139",,,,,,,,,,,
COMPLETED 1 EVENT,,,St. Brendan Church	,,"69 Summit St Jefferson, MA",,,8/3/24,,,,1 event done,,,,https://lowellauditorium.com/
