Appetizers,Premium,,Mains,Premium,,Sides,Premium,,Platters & Boards,Description,Premium,,"Soups &
Salads",Premium,,Bar/Beverage,Description,Premium,,Kids Menu,Option,,Rental / Extra,Description,Premium,,,,,,Services,Premium,Mains,Sides,Staff,Description,,Extras,,,Vendor Meals,Option,,,,Brunch,Option
Papa Rellena (Mashed potato balls with meat filling),3.75,,Chicken Pasta Primavera,,,Brazilian Risotto (Piemontese Rice),,,,,,,Potato Salad,$3.50,,Wine pouring service ,Our team will personally offer wine to your guests during the event.,3.00,,,,,Churrasco: Family Style,"Upgrade your Churrasco Buffet with a Family Style Service
where our staff serves hearty selections in portions designed for all to share",10,,,,,Churrasco: Rodizio,Mini Churrasco Rodizio,29.95,1.00,2.00,20.00,"Churrasco w/Tableside Rodizio Service
1 meat + 2 sides + 1 salad
Bring the Brazilian grill to your event with our Churrasco service, featuring onsite grilling and tableside meat service, with skewers brought to guests as part of the Churrasco experience, creating an authentic Brazilian dining atmosphere.
Recommended: Add Family Style Sides for +$5/pp",,,,,,,,,,Bacon,3.00
Fried Polenta (Corn),2.50,,"Chicken, Beef or Tofu Stir Fry",,,,,,,,,,Roasted Zucchini & Summer squash,3.50,,Water service at table (disposable),"Disposable water service at each table, ensuring guests stay refreshed.",2.50,,,,,Churrasco: Plated Style,"Upgrade your Churrasco Buffet into a Plated Service
where our professional staff serve each guest their choice of protein alongside two sides, all from a custom curated menu provided in advance",15,,,,,Churrasco: Rodizio,Full Churrasco Rodizio,36.90,2.00,3.00,20.00,"Churrasco w/Tableside Rodizio Service
2 meats + 3 sides + 1 salad
Bring the Brazilian grill to your event with our Churrasco service, featuring onsite grilling and tableside meat service, with skewers brought to guests as part of the Churrasco experience, creating an authentic Brazilian dining atmosphere.
Recommended: Add Family Style Sides for +$5/pp",,,,,,,,,,Sausage,3.00
Garlic Bread or garlic pamesan bread,2.99,,Chicken Broccoli Fettuccine Alfredo,,,Rice,,,,,,,Mango & Mint Salad,4.00,,Water Station,"Tabled Station:
Come with Water Pitchers staying filled, Disposable Cups, and Ice",2.00,,,,,"Drop Off: 
Wire Chafers & Sternos for Drop Off",Self-Heating Trays with Sternos Flame so you can keep your drop off warm,#VALUE!,,,,,Churrasco: Rodizio,Deluxe Churrasco Rodizio,41.90,3.00,3.00,20.00,"Churrasco w/Tableside Rodizio Service
3 meats + 3 sides + 1 salad
Bring the Brazilian grill to your event with our Churrasco service, featuring onsite grilling and tableside meat service, with skewers brought to guests as part of the Churrasco experience, creating an authentic Brazilian dining atmosphere.
Recommended: Add Family Style Sides for +$5/pp",,,,,,,,,,Coffee & Tea,2.50
,,,Veal Marsala ,4.00,,_____ Vegetables _____,,,,,,,Brazilian style chicken salad (salpicao),6.50,,Real glass water glass,Glassware,1.25,,,,,"Drop Off: 
Buffet Setup Service",Self-Heating Trays with Sternos Flame so you can keep your drop off warm,#VALUE!,,,,,Churrasco: Rodizio,Supreme Churrasco Rodizio,46.90,4.00,3.00,20.00,"Churrasco w/Tableside Rodizio Service
4 meats +  3 sides + 1 salad
Bring the Brazilian grill to your event with our Churrasco service, featuring onsite grilling and tableside meat service, with skewers brought to guests as part of the Churrasco experience, creating an authentic Brazilian dining atmosphere.
Recommended: Add Family Style Sides for +$5/pp",,,,,,,,,,Juices (starts at $4/pp),4.00
_____ Seafood _____,,,Coq Au Vin,4.00,,"Carrots (savory, tarragon, glazed)",,,,,,,Brazilian tropical corn salad,4.25,,Real wine glass,Glassware,1.25,,,,,FREE High end Disposable Flatware & Silverware,& napkins,0.01,,,,,Churrasco: Rodizio,Supreme+ Churrasco Rodizio,59.90,5.00,3.00,20.00,"Churrasco w/Tableside Rodizio Service
5 meats+ 3 sides + 2 salads
Bring the Brazilian grill to your event with our Churrasco service, featuring onsite grilling and tableside meat service, with skewers brought to guests as part of the Churrasco experience, creating an authentic Brazilian dining atmosphere.
Recommended: Add Family Style Sides for +$5/pp",,,,,,,,,,Extra Juices,2.00
Garlic Shrimp,5.00,,,,,Sautéed Green Beans,,,,,,,,,,,,,,,,,Cake Cutting ( Special Set up),"Expert cake cutting, from slicing to plating and we will arrange it on your Buffet table .  Comes with Free High End Disposable Flatware",4.00,,,,,,,,,,,,,,,,,,,,,,
Grilled Tequila Lime Shrimp,7.00,,_____ Pork _____,,,Asparagus Wraps,5.00,,,,,,____ Soups ____,,,Real champagne glass,Glassware,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Pork Tenderloin,,,Steamed Asparagus,3.00,,,,,,Chicken Soup,6.50,,Champagne service (disposable flutes),Bar Service,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scallops & Bacon,9.50,,Pork Chops,,,Summer Squash and Zucchini,,,,,,,Turkey Soup,6.50,,Champagne service (real flutes),Bar Service,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_____ Croquettes _____,,,Pork Sausage,,,Broccoli,,,,,,,Beef Vegetable,6.50,,Mocktail Dispenser Station,"Pick 2
Lemonade Iced Tea Twist
Tropical Citrus Cooler
Passion Fruit Spritzer
Cranberry Citrus Fizz
Blueberry Lemonade Cooler
",3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,___ BAR ___  ,
